::ffff:127.0.0.1 - - [25/Apr/2022:05:52:44 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:52:44 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:52:44 +0000] "GET /api/posts HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::1 - - [25/Apr/2022:05:57:02 +0000] "POST /api/auth/login HTTP/1.1" 200 777 "-" "PostmanRuntime/7.29.0"
::ffff:127.0.0.1 - - [25/Apr/2022:05:57:13 +0000] "POST /api/auth/login HTTP/1.1" 200 777 "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::1 - - [25/Apr/2022:05:57:14 +0000] "GET /images/undefined HTTP/1.1" 404 155 "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:57:14 +0000] "GET /api/events HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:57:14 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:57:14 +0000] "GET /api/users HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
::ffff:127.0.0.1 - - [25/Apr/2022:05:57:14 +0000] "GET /api/posts HTTP/1.1" 304 - "http://localhost:3000/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
